                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.0194,                 0.9137,                0.99869,                0.62453,                0.89286,                0.87982,                0.59428,                 1.1762,                 1.2812,                  1.141,             0.00073579,             0.00073579,             0.00073579
                    101,                0.92536,                0.79268,                 1.0008,                0.78568,                0.94406,                0.88433,                0.55183,                  1.189,                 1.2968,                  1.144,             0.00072872,             0.00072872,             0.00072872
                    102,                0.96182,                0.77473,                0.93872,                0.81824,                0.92857,                 0.8898,                0.60995,                 1.1933,                 1.1879,                 1.1286,             0.00072164,             0.00072164,             0.00072164
                    103,                0.96204,                0.76356,                0.96262,                0.81544,                0.87905,                0.91212,                 0.6105,                 1.2052,                0.96493,                 1.1505,             0.00071457,             0.00071457,             0.00071457
                    104,                0.94612,                0.86483,                 1.0052,                0.67428,                0.84476,                0.89566,                0.61905,                 1.1041,                 1.0417,                 1.0394,              0.0007075,              0.0007075,              0.0007075
                    105,                0.94233,                0.86238,                0.96519,                0.78323,                 0.7756,                 0.8824,                0.61674,                 1.0439,                 1.0594,                 1.0408,             0.00070042,             0.00070042,             0.00070042
                    106,                0.90846,                0.75694,                0.95044,                0.78467,                0.88785,                0.88432,                0.65728,                 1.0918,                 1.0634,                 1.0756,             0.00069335,             0.00069335,             0.00069335
                    107,                0.90233,                0.80121,                 0.9582,                0.83881,                0.87665,                0.93363,                 0.7179,                 1.1705,                 1.0181,                 1.1087,             0.00068628,             0.00068628,             0.00068628
                    108,                0.91262,                0.87807,                 1.0204,                0.76469,                0.93796,                0.95424,                 0.7196,                 1.1368,                0.89544,                  1.189,              0.0006792,              0.0006792,              0.0006792
                    109,                0.88952,                0.71288,                0.94779,                 0.7876,                 0.9432,                0.96044,                0.69422,                 1.0659,                0.84918,                 1.1718,             0.00067213,             0.00067213,             0.00067213
                    110,                0.89063,                 0.7321,                0.95341,                0.91653,                 0.8175,                 0.9452,                0.68618,                 1.0454,                0.93862,                 1.0915,             0.00066506,             0.00066506,             0.00066506
                    111,                0.87266,                0.76539,                 1.0036,                0.80238,                0.80852,                0.87911,                0.68074,                 1.1516,                 1.2367,                  1.111,             0.00065798,             0.00065798,             0.00065798
                    112,                0.89245,                0.72243,                0.95663,                0.87429,                0.76803,                0.83838,                0.67705,                  1.278,                 1.5587,                 1.1607,             0.00065091,             0.00065091,             0.00065091
                    113,                0.88241,                0.75437,                0.95204,                0.89522,                0.75176,                0.84081,                0.65043,                 1.2489,                 1.4989,                 1.1475,             0.00064384,             0.00064384,             0.00064384
                    114,                0.90641,                0.73627,                0.97994,                0.87286,                0.80187,                 0.8524,                0.66597,                 1.2212,                  1.277,                 1.1376,             0.00063676,             0.00063676,             0.00063676
                    115,                0.90894,                0.72323,                0.97676,                0.80234,                0.95222,                 0.9057,                0.66806,                  1.106,                 1.1349,                  1.083,             0.00062969,             0.00062969,             0.00062969
